ScientificName	Country	StateProvince
Lysichiton americanus	Canada	British Columbia
Lysimachia latifolia	Canada	British Columbia
Lysimachia thyrsiflora	Canada	British Columbia
Madia gracilis	Canada	British Columbia
Madia madioides	Canada	British Columbia
Malus fusca	Canada	British Columbia
Marsippospermum gracile	Canada	British Columbia
Matricaria discoidea	Canada	British Columbia
Melica harfordii	Canada	British Columbia
Melica subulata	Canada	British Columbia
Melilotus albus	Canada	British Columbia
Mentha arvensis	Canada	British Columbia
Micranthes integrifolia	Canada	British Columbia
Micranthes rufidula	Canada	British Columbia
Mimulus	Canada	British Columbia
Moehringia macrophylla	Canada	British Columbia
Monotropa uniflora	Canada	British Columbia
Montia fontana	Canada	British Columbia
Montia parvifolia	Canada	British Columbia
Montia perfoliata	Canada	British Columbia
Mycelis muralis	Canada	British Columbia
Myosotis discolor	Canada	British Columbia
Myosotis latifolia	Canada	British Columbia
Myosotis laxa	Canada	British Columbia
Myriophyllum	Canada	British Columbia
Myriopphyllum spicatum	Canada	British Columbia
Nemophila parviflora	Canada	British Columbia
Neottia cordata	Canada	British Columbia
Nuphar polysepala	Canada	British Columbia
Nymphae odorata	Canada	British Columbia
Oenanthe	Canada	British Columbia
Oenanthe sarmentosa	Canada	British Columbia
Oenothera	Canada	British Columbia
Oplopanax horridus	Canada	British Columbia
Opuntia fragilis	Canada	British Columbia
Orobanche uniflorum	Canada	British Columbia
Osmorhiza berteroi	Canada	British Columbia
Packera macounii	Canada	British Columbia
Papaver orientale	Canada	British Columbia
Papaver somniferum	Canada	British Columbia
Paxistima myrsinites	Canada	British Columbia
Pentagramma triangularis	Canada	British Columbia
Persicaria amphibia emersa	Canada	British Columbia
Phalaris arundinacea	Canada	British Columbia
Phleum pratense	Canada	British Columbia
Picea sitchensis	Canada	British Columbia
Pinus contorta	Canada	British Columbia
Plantago elongata	Canada	British Columbia
Plantago lanceolata	Canada	British Columbia
Plantago major	Canada	British Columbia
Plantago maritima	Canada	British Columbia
Platanthera elegans	Canada	British Columbia
Plectritis congesta	Canada	British Columbia
Poa annua	Canada	British Columbia
Poa compressa	Canada	British Columbia
Poa howellii	Canada	British Columbia
Poa pratensis	Canada	British Columbia
Poa trivialis	Canada	British Columbia
Polygonum aviculare	Canada	British Columbia
Polypodium glycyrrhiza	Canada	British Columbia
Polystichum	Canada	British Columbia
Polystichum munitum	Canada	British Columbia
Populus tremuloides	Canada	British Columbia
Potamogeton amplifolius	Canada	British Columbia
Potamogeton natans	Canada	British Columbia
Potamogeton praelongus	Canada	British Columbia
Potamogeton richardsonii	Canada	British Columbia
Potamogeton robbinsii	Canada	British Columbia
Potamogeton robinsii	Canada	British Columbia
Prunella vulgaris	Canada	British Columbia
Prunus emarginata	Canada	British Columbia
Pseudotsuga menziesii	Canada	British Columbia
Psuedotsuga menziesii	Canada	British Columbia
Pteridium aquilinum	Canada	British Columbia
Puccinellia	Canada	British Columbia
Pyrola aphylla	Canada	British Columbia
Quercus garryana	Canada	British Columbia
Racomitrium canenscens	Canada	British Columbia
Racomitrium canescens	Canada	British Columbia
Racomitrium heterostichum	Canada	British Columbia
Ranunculus acris	Canada	British Columbia
Ranunculus aquatilis	Canada	British Columbia
Ranunculus flammula	Canada	British Columbia
Ranunculus occidentalis	Canada	British Columbia
Ranunculus repens	Canada	British Columbia
Ranunculus uncinatus	Canada	British Columbia
Rhododendron groenlandicum	Canada	British Columbia
Ribes divaricatum	Canada	British Columbia
Ribes sanguineum	Canada	British Columbia
Rosa gymnocarpa	Canada	British Columbia
Rosa nutkana	Canada	British Columbia
Rubus armeniacus	Canada	British Columbia
Rubus leucodermis	Canada	British Columbia
Rubus spectabilis	Canada	British Columbia
Rubus ursinus	Canada	British Columbia
Rumex	Canada	British Columbia
Rumex acetosella	Canada	British Columbia
Rumex crispus	Canada	British Columbia
Sagina maxima crassicaulis	Canada	British Columbia
Sagina procumbens	Canada	British Columbia
Salicornia depressa	Canada	British Columbia
Salix	Canada	British Columbia
Salix lasiandra	Canada	British Columbia
Salix scouleriana	Canada	British Columbia
Sanicula crassicaulis	Canada	British Columbia
Santolina chamaecyparissus	Canada	British Columbia
Saxifraga cespitosa	Canada	British Columbia
Schoenoplectus acutus	Canada	British Columbia
Scirpus acutus	Canada	British Columbia
Scirpus microcarpus	Canada	British Columbia
Sedum	Canada	British Columbia
Sedum acre	Canada	British Columbia
Sedum album	Canada	British Columbia
Sedum lanceolatum	Canada	British Columbia
Sedum oreganum	Canada	British Columbia
Sedum spathulifolium	Canada	British Columbia
Selaginella wallacei	Canada	British Columbia
Senecio sylvaticus	Canada	British Columbia
Shepherdia canadensis	Canada	British Columbia
Sherardia arvensis	Canada	British Columbia
Silene coronaria	Canada	British Columbia
Sinapis arvensis	Canada	British Columbia
Sisymbrium officinale	Canada	British Columbia
Sium suave	Canada	British Columbia
Sonchus asper	Canada	British Columbia
Sparganium e	Canada	British Columbia
Sparganium emersum	Canada	British Columbia
Spergularia canadensis	Canada	British Columbia
Spergularia rubra	Canada	British Columbia
Sphagnum	Canada	British Columbia
Spiraea	Canada	British Columbia
Spiraea douglasii	Canada	British Columbia
Spiraea douglassii	Canada	British Columbia
Stellaria calycantha	Canada	British Columbia
Stellaria crispa	Canada	British Columbia
Stellaria media	Canada	British Columbia
Symphoricarpos albus	Canada	British Columbia
Symphyotricum subspicatum	Canada	British Columbia
Taraxacum officinale	Canada	British Columbia
Taxus brevifolia	Canada	British Columbia
Thuja plicata	Canada	British Columbia
Thysanocarpus curvipes	Canada	British Columbia
Torilis japonica	Canada	British Columbia
Torreyochloa pallida pauciflora	Canada	British Columbia
Toxicoscordion venenosum	Canada	British Columbia
Tragopogon dubius	Canada	British Columbia
Trifolium	Canada	British Columbia
Trifolium dubium	Canada	British Columbia
Trifolium macraei	Canada	British Columbia
Trifolium microcephalum	Canada	British Columbia
Trifolium oliganthum	Canada	British Columbia
Trifolium repens	Canada	British Columbia
Trifolium subterraneum	Canada	British Columbia
Trifolium willdenovii	Canada	British Columbia
Triglochin maritima	Canada	British Columbia
Triphysaria pusilla	Canada	British Columbia
Trisetum canescens	Canada	British Columbia
Tsuga heterophylla	Canada	British Columbia
Typha	Canada	British Columbia
Typha latifolia	Canada	British Columbia
Umbilicaria	Canada	British Columbia
Urtica dioica	Canada	British Columbia
Vaccinium parvifolium	Canada	British Columbia
Verbascum thapsus	Canada	British Columbia
Veronica americana	Canada	British Columbia
Veronica arvensis	Canada	British Columbia
Veronica officinalis	Canada	British Columbia
Veronica scutellata	Canada	British Columbia
Veronica serpyllifolia	Canada	British Columbia
Vicia americana	Canada	British Columbia
Vicia gigantea	Canada	British Columbia
Vicia sativa	Canada	British Columbia
Vinca major	Canada	British Columbia
Viola palustris	Canada	British Columbia
Vulpia	Canada	British Columbia
Vulpia myuros megalura	Canada	British Columbia
Zostera marina	Canada	British Columbia
