Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Molinia caerulea,accepted,165499,Molinia caerulea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Arundinoideae,Molinieae,Molinia,caerulea
Narcissus x incomparabilis,accepted,993276,Narcissus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Amaryllidoideae,Narcisseae,Narcissus,
Nassella tenuissima,accepted,165660,Nassella tenuissima,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Stipeae,Nassella,tenuissima
Nicandra physalodes,accepted,78217,Nicandra physalodes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Nicandreae,Nicandra,physalodes
Nicotiana alata,accepted,165703,Nicotiana alata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,alata
Nicotiana langsdorffii,accepted,204365,Nicotiana langsdorffii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,langsdorffii
Nicotiana quadrivalvis,accepted,58336,Nicotiana quadrivalvis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,quadrivalvis
Nicotiana rustica,accepted,165707,Nicotiana rustica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,rustica
Nicotiana sylvestris,accepted,78221,Nicotiana sylvestris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,sylvestris
Nigella damascena,accepted,62313,Nigella damascena,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Nigelleae,Nigella,damascena
Nonea vesicaria,accepted,165730,Nonea vesicaria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Nonea,vesicaria
Nothoscordum bivalve,accepted,125462,Nothoscordum bivalve,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Gilliesieae,Nothoscordum,bivalve
Nymphaea x marliacea,accepted,51122,Nymphaea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,,Nymphaeaceae,,,Nymphaea,
Oenothera curtiflora,accepted,78241,Oenothera curtiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,curtiflora
Oenothera macrocarpa subsp. macrocarpa,accepted,237522,Oenothera macrocarpa macrocarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,macrocarpa
Oenothera stricta subsp. stricta,accepted,80080,Oenothera stricta stricta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,stricta
Ophioglossum petiolatum,accepted,165861,Ophioglossum petiolatum,Plantae,Tracheophyta,,,Polypodiopsida,Ophioglossidae,,Ophioglossales,,,,Ophioglossaceae,Ophioglossoideae,,Ophioglossum,petiolatum
Origanum heracleoticum,unaccepted,362402,Origanum vulgare viridulum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Origanum,vulgare
Ornithopus perpusillus,accepted,55668,Ornithopus perpusillus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Loteae,Ornithopus,perpusillus
Oxalis debilis var. corymbosa,unaccepted,61963,Oxalis debilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,,Oxalidaceae,,,Oxalis,debilis
Oxalis exilis,accepted,57865,Oxalis exilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,,Oxalidaceae,,,Oxalis,exilis
Papaver atlanticum,accepted,347013,Papaver atlanticum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Papaveroideae,Papavereae,Papaver,atlanticum
Papaver orientale,accepted,166114,Papaver orientale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Papaveroideae,Papavereae,Papaver,orientale
Parietaria hespera,accepted,58338,Parietaria hespera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Urticaceae,,,Parietaria,hespera
Parietaria hespera var. hespera,accepted,81178,Parietaria hespera hespera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Urticaceae,,,Parietaria,hespera
Paspalum dilatatum,accepted,60295,Paspalum dilatatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Paspaleae,Paspalum,dilatatum
Pennisetum alopecuroides,unaccepted,1030051,Cenchrus alopecuroides,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Paniceae,Cenchrus,alopecuroides
Perilla frutescens var. crispa,accepted,242111,Perilla frutescens crispa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Elsholtzieae,Perilla,frutescens
Perilla frutescens var. frutescens,accepted,242112,Perilla frutescens frutescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Elsholtzieae,Perilla,frutescens
Perovskia atriplicifolia,unaccepted,941713,Salvia yangii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,yangii
Persicaria orientalis,accepted,78454,Persicaria orientalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,orientalis
Persicaria perfoliata,accepted,131249,Persicaria perfoliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,perfoliata
Petrorhagia nanteuilii,accepted,78464,Petrorhagia nanteuilii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Petrorhagia,nanteuilii
Petroselinum crispum,accepted,78465,Petroselinum crispum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Apieae,Petroselinum,crispum
Petunia x atkinsiana,accepted,55406,Petunia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Petunioideae,,Petunia,
Phacelia tanacetifolia,accepted,58185,Phacelia tanacetifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Hydrophylloideae,,Phacelia,tanacetifolia
Phalaris arundinacea var. picta,unaccepted,63337,Phalaris arundinacea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Phalaris,arundinacea
Phalaris minor,accepted,57194,Phalaris minor,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Phalaris,minor
Phaseolus vulgaris,accepted,122850,Phaseolus vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Phaseoleae,Phaseolus,vulgaris
Phyllostachys aurea,accepted,78563,Phyllostachys aurea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Bambusoideae,Arundinarieae,Phyllostachys,aurea
Physalis alkekengi,unaccepted,575102,Alkekengi officinarum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Alkekengi,officinarum
Physalis grisea,accepted,166805,Physalis grisea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,grisea
Physalis longifolia var. longifolia,accepted,242210,Physalis longifolia longifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,longifolia
Physalis peruviana,accepted,51988,Physalis peruviana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,peruviana
Physalis pubescens,accepted,78570,Physalis pubescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,pubescens
Phytolacca americana,accepted,48599,Phytolacca americana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Phytolaccaceae,,,Phytolacca,americana
Picris echioides,unaccepted,61906,Helminthotheca echioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Helminthotheca,echioides
Pinus sylvestris,accepted,58722,Pinus sylvestris,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Pinoideae,,Pinus,sylvestris
Pisum sativum,accepted,54522,Pisum sativum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Pisum,sativum
Plantago aristata,accepted,78616,Plantago aristata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Plantagineae,Plantago,aristata
Plantago ovata,accepted,58230,Plantago ovata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Plantagineae,Plantago,ovata
Polygala vulgaris,accepted,167210,Polygala vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Polygalaceae,,Polygaleae,Polygala,vulgaris
Polygonum perfoliatum,unaccepted,131249,Persicaria perfoliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,perfoliata
Polypogon fugax,accepted,405144,Polypogon fugax,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Polypogon,fugax
Polypogon viridis,accepted,64144,Polypogon viridis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Polypogon,viridis
Pontederia cordata,accepted,52599,Pontederia cordata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Commelinales,,,,Pontederiaceae,,,Pontederia,cordata
Populus alba,accepted,47570,Populus alba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,alba
Populus grandidentata,accepted,54839,Populus grandidentata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,grandidentata
Populus tremula,accepted,47571,Populus tremula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,tremula
Populus x canescens,accepted,1430522,Populus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,
Potentilla reptans,accepted,167373,Potentilla reptans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Potentilla,reptans
Potentilla verna,accepted,204391,Potentilla verna,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Potentilla,verna
Prunus domestica,accepted,63735,Prunus domestica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,domestica
Prunus lusitanica,accepted,127529,Prunus lusitanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,lusitanica
Prunus persica,accepted,78755,Prunus persica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,persica
Prunus persica var. persica,accepted,600844,Prunus persica persica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,persica
Pseudognaphalium luteoalbum,accepted,53083,Pseudognaphalium luteoalbum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Pseudognaphalium,luteoalbum
Pseudosasa japonica,accepted,167508,Pseudosasa japonica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Bambusoideae,Arundinarieae,Pseudosasa,japonica
Pyracantha fortuneana,accepted,78791,Pyracantha fortuneana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Pyracantha,fortuneana
Pysalis peruviana,unknown,,,,,,,,,,,,,,,,,,
Quercus rubra,accepted,49005,Quercus rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,rubra
Ranunculus arvensis,accepted,78818,Ranunculus arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,arvensis
Ranunculus eschscholtzii var. eximius,unaccepted,167721,Ranunculus eximius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,eximius
Ranunculus flammula var. flammula,accepted,81329,Ranunculus flammula flammula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,flammula
Ranunculus hebecarpus,accepted,57239,Ranunculus hebecarpus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,hebecarpus
Ranunculus occidentalis var. brevistylis,accepted,242563,Ranunculus occidentalis brevistylis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,occidentalis
Ranunculus x heimburgerae,accepted,1365503,Ranunculus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,
Rapistrum rugosum,accepted,78835,Rapistrum rugosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Rapistrum,rugosum
Reseda luteola,accepted,78839,Reseda luteola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Resedaceae,,,Reseda,luteola
Reseda odorata,accepted,78840,Reseda odorata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Resedaceae,,,Reseda,odorata
Rhexia virginica,accepted,130690,Rhexia virginica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Melastomataceae,Melastomatoideae,Rhexieae,Rhexia,virginica
Rhus typhina,accepted,167829,Rhus typhina,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Anacardiaceae,Anacardioideae,,Rhus,typhina
Ribes nigrum,accepted,54430,Ribes nigrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Grossulariaceae,,,Ribes,nigrum
Ribes watsonianum,accepted,167921,Ribes watsonianum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Grossulariaceae,,,Ribes,watsonianum
Robinia viscosa,accepted,167943,Robinia viscosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Robinieae,Robinia,viscosa
Rorippa austriaca,accepted,78874,Rorippa austriaca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,austriaca
Rorippa cantoniensis,accepted,167960,Rorippa cantoniensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,cantoniensis
Rorippa globosa,accepted,204397,Rorippa globosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,globosa
Rorippa heterophylla,unaccepted,359574,Rorippa dubia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,dubia
Rorippa indica var.  indica,invalid,167965,Rorippa indica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,indica
Rorippa microsperma,unknown,,,,,,,,,,,,,,,,,,
Rumex flexuosus,accepted,405775,Rumex flexuosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,flexuosus
Rumex hydrolapathum,accepted,371574,Rumex hydrolapathum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,hydrolapathum
Rumex pseudonatronatus,accepted,168249,Rumex pseudonatronatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,pseudonatronatus
Rumex rugosus,accepted,622883,Rumex rugosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,rugosus
Rumex x pratensis,accepted,1540581,Rumex,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,
Salix cinerea,accepted,168326,Salix cinerea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,cinerea
Salix viminalis,accepted,55822,Salix viminalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,viminalis
Salix x sepulcralis,accepted,1237164,Salix,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,
Salpichroa origanifolia,accepted,78954,Salpichroa origanifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Salpichroa,origanifolia
Salpiglossis sinuata,accepted,204406,Salpiglossis sinuata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Cestroideae,Salpiglossideae,Salpiglossis,sinuata
Salsola collina,accepted,168371,Salsola collina,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salsoloideae,Salsoleae,Salsola,collina
Salvia plebeia,accepted,460319,Salvia plebeia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,plebeia
Salvia pratensis,accepted,85338,Salvia pratensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,pratensis
Salvia reflexa,accepted,128693,Salvia reflexa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,reflexa
Salvia verticillata,accepted,128689,Salvia verticillata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,verticillata
Salvia x sylvestris,accepted,50644,Salvia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,
Saxifraga granulata,accepted,124135,Saxifraga granulata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Saxifrageae,Saxifraga,granulata
Scabiosa ochroleuca,accepted,168481,Scabiosa ochroleuca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Dipsacoideae,,Scabiosa,ochroleuca
Schizonepeta tenuifolia,unknown,,,,,,,,,,,,,,,,,,
Scilla siberica,accepted,862704,Scilla siberica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Scilla,siberica
Sedum hispanicum,accepted,168738,Sedum hispanicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,hispanicum
Senecio inaequidens,accepted,55607,Senecio inaequidens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,inaequidens
Senecio leucanthemifolius subsp. vernalis,unaccepted,336378,Senecio vernalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,vernalis
Senecio x albescens,accepted,53207,Senecio,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,
Setaria verticilliformis,unaccepted,79069,Setaria verticillata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Paniceae,Setaria,verticillata
Silene chalcedonica,accepted,406034,Silene chalcedonica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,chalcedonica
Silene conoidea,accepted,79105,Silene conoidea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,conoidea
Silene pendula,accepted,79117,Silene pendula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,pendula
Solanum carolinense,accepted,52899,Solanum carolinense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,carolinense
Solanum tuberosum,accepted,53858,Solanum tuberosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,tuberosum
Soldanella montana,accepted,169090,Soldanella montana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Primulaceae,Primuloideae,Primuleae,Soldanella,montana
Sorbaria sorbifolia,accepted,169144,Sorbaria sorbifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Sorbarieae,Sorbaria,sorbifolia
Sorbus aria,unaccepted,900799,Aria edulis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Aria,edulis
Sorghum halepense,accepted,58387,Sorghum halepense,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Andropogoneae,Sorghum,halepense
Spartina pectinata,unaccepted,772984,Sporobolus michauxianus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Zoysieae,Sporobolus,michauxianus
Spartium junceum,accepted,47406,Spartium junceum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Spartium,junceum
Spinachia oleracea,unknown,,,,,,,,,,,,,,,,,,
Spiraea alba,accepted,126823,Spiraea alba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Spiraea,alba
Spiraea alba var. latifolia,accepted,126819,Spiraea alba latifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Spiraea,alba
Sporobolus neglectus,accepted,169298,Sporobolus neglectus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Zoysieae,Sporobolus,neglectus
Symphyotrichum cordifolium,accepted,153441,Symphyotrichum cordifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,cordifolium
Symphyotrichum cusickii,unaccepted,1417070,Symphyotrichum foliaceum cusickii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,foliaceum
Symphyotrichum falcatum var. commutatum,accepted,243148,Symphyotrichum falcatum commutatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,falcatum
Symphyotrichum hendersonii,accepted,79300,Symphyotrichum hendersonii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,hendersonii
Symphyotrichum laeve var. laeve,accepted,243152,Symphyotrichum laeve laeve,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,laeve
Symphyotrichum lanceolatum var. lanceolatum,accepted,238759,Symphyotrichum lanceolatum lanceolatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,lanceolatum
Symphyotrichum lanceolatum subsp. lanceolatum var. lanceolatum,invalid,238759,Symphyotrichum lanceolatum lanceolatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,lanceolatum
Symphyotrichum lateriflorum,accepted,122249,Symphyotrichum lateriflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,lateriflorum
Symphyotrichum novae-angliae,accepted,117443,Symphyotrichum novae-angliae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,novae-angliae
Symphyotrichum novi-belgii,accepted,169474,Symphyotrichum novi-belgii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,novi-belgii
Symphyotrichum praealtum,accepted,169480,Symphyotrichum praealtum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,praealtum
